,Time,Time (s),Distance [m],Logger Temperature [癈],External Voltage [V],Channel01 [bar],Channel02 [bar],InlineAcc [g],LateralAcc [g],VerticalAcc [g],RollRate [deg/s],PitchRate [deg/s],YawRate [deg/s],RPM [rpm],Speed [km/h],TPS [%],TPS_2 [%],ACCY [g],Brake_press_F [bar],Brake_press_R [bar],Fuel_press [bar],Gear [gear],Mapping [#],PPS [%],Speed_fl [km/h],Speed_fr [km/h],Speed_rl [km/h],Speed_rr [km/h],Water_temp [癈],Steer_angle [deg],Fuel_tank [#],GPS_Speed [km/h],GPS_Nsat [#],GPS_LatAcc [g],GPS_LonAcc [g],GPS_Slope [deg],GPS_Heading [deg],GPS_Gyro [deg/s],GPS_Altitude [m],GPS_PosAccuracy [#],GPS_SpdAccuracy [#],GPS_Latitude [癩,GPS_Longitude [癩,GPS_Elevation [cm]
Lap: 1, 00.32.737,0,0,41.062,9.968,0.886,-1.667,-0.032,0,-0.995,-0.578,-0.264,-0.231,0,9.609,3.048,3.068,-2.961,4.648,4.558,0,1,3,0,0,0,0,0,90,3,0,0,10,0,0,-0.006,-0.011,-0.022,7.946,1.39,0.14,31.33582096,121.2274195,7.97
,,0.02,0,41.062,9.997,0.886,-1.667,-0.027,0.002,-0.995,-0.57,-0.12,-0.235,0,9.608,3.048,3.068,-2.953,4.648,4.558,0,1,3,0,0,0,0,0,90,3,0,0,10,0,0,-0.006,-0.011,-0.022,7.946,1.39,0.14,31.33582092,121.2274195,7.97
,,0.04,0,41.062,10.026,0.886,-1.667,-0.019,0.005,-0.995,-0.574,-0.016,-0.236,0,9.606,3.048,3.068,-2.945,4.648,4.558,0,1,3,0,0,0,0,0,90,3,0,0,10,0,0,-0.006,-0.011,-0.022,7.946,1.39,0.14,31.33582088,121.2274196,7.97
,,0.06,0,41.062,10.056,0.886,-1.667,-0.011,0.005,-0.994,-0.586,0.029,-0.236,0,9.605,3.048,3.068,-2.936,4.648,4.558,0,1,3,0,0,0,0,0,90,3,0,0,10,0,0,-0.006,-0.011,-0.022,7.946,1.39,0.14,31.33582084,121.2274196,7.97
,,0.08,0,41.062,10.085,0.886,-1.667,-0.004,0.005,-0.994,-0.599,-0.001,-0.234,0,9.603,3.048,3.068,-2.928,4.648,4.558,0,1,3,0,0,0,0,0,90,3,0,0,10,0,0,-0.006,-0.011,-0.022,7.946,1.39,0.14,31.3358208,121.2274196,7.97
,,0.1,0,41.062,10.114,0.886,-1.667,-0.001,0.005,-0.993,-0.608,-0.102,-0.23,0,9.602,3.048,3.068,-2.92,4.648,4.558,0,1,3,0,0,0,0,0,90,3,0,0,10,0,0,-0.006,-0.011,-0.022,7.946,1.39,0.14,31.33582076,121.2274196,7.98
,,0.12,0,41.062,10.143,0.886,-1.667,-0.001,0.005,-0.992,-0.609,-0.236,-0.227,0,9.6,3.048,3.068,-2.916,4.648,4.558,0,1,3,0,0,0,0,0,90,3,0,0,10,0,0,-0.006,-0.011,-0.022,7.946,1.39,0.14,31.33582072,121.2274197,7.98
,,0.14,0,41.062,10.173,0.886,-1.667,-0.003,0.002,-0.991,-0.604,-0.37,-0.231,0,9.599,3.048,3.068,-2.912,4.648,4.558,0,1,3,0,0,0,0,0,90,3,0,0,10,0,0,-0.006,-0.011,-0.022,7.946,1.39,0.14,31.33582068,121.2274197,7.98
,,0.16,0,41.062,10.202,0.886,-1.667,-0.008,0.004,-0.99,-0.599,-0.475,-0.241,0,9.597,3.048,3.068,-2.908,4.648,4.558,0,1,3,0,0,0,0,0,90,3,0,0,10,0,0,-0.006,-0.011,-0.022,7.946,1.39,0.14,31.33582064,121.2274197,7.98
,,0.18,0,41.062,10.231,0.886,-1.667,-0.013,0.005,-0.99,-0.598,-0.535,-0.258,0,9.596,3.048,3.068,-2.903,4.648,4.558,0,1,3,0,0,0,0,0,90,3,0,0,10,0,0,-0.006,-0.011,-0.022,7.946,1.39,0.14,31.3358206,121.2274198,7.98
,,0.2,0,41.062,10.26,0.886,-1.667,-0.018,0.005,-0.991,-0.609,-0.518,-0.269,0,9.595,3.048,3.068,-2.899,4.648,4.558,0,1,3,0,0,0,0,0,90,3,0,0,10,0,0,-0.006,-0.011,-0.022,7.946,1.39,0.14,31.33582055,121.2274198,7.98
,,0.22,0,41.062,10.289,0.886,-1.667,-0.021,0.005,-0.993,-0.618,-0.439,-0.267,0,9.593,3.044,3.058,-2.904,4.538,4.403,0,1,3,0,0,0,0,0,90,3,0,0,10,0,0,-0.006,-0.011,-0.022,7.946,1.39,0.14,31.33582051,121.2274198,7.98
,,0.24,0,41.062,10.319,0.886,-1.667,-0.022,0.004,-0.995,-0.611,-0.337,-0.253,0,9.592,3.04,3.049,-2.909,4.427,4.248,0,1,3,0,0,0,0,0,90,3,0,0,10,0,0,-0.006,-0.011,-0.022,7.946,1.39,0.14,31.33582047,121.2274198,7.99
,,0.26,0,41.062,10.348,0.886,-1.667,-0.021,0.003,-0.996,-0.594,-0.248,-0.236,0,9.59,3.036,3.039,-2.914,4.317,4.092,0,1,3,0,0,0,0,0,90,3,0,0,10,0,0,-0.006,-0.011,-0.022,7.947,1.39,0.14,31.33582043,121.2274199,7.99
,,0.28,0,41.062,10.377,0.886,-1.667,-0.019,0.002,-0.996,-0.573,-0.176,-0.223,0,9.589,3.032,3.029,-2.919,4.207,3.937,0,1,3,0,0,0,0,0,90,3,0,0,10,0,0,-0.006,-0.011,-0.022,7.947,1.39,0.14,31.33582039,121.2274199,7.99
,,0.3,0,41.062,10.406,0.886,-1.667,-0.016,0.002,-0.995,-0.564,-0.124,-0.222,0,9.587,3.028,3.019,-2.924,4.096,3.782,0,1,3,0,0,0,0,0,90,3,0,0,10,0,0,-0.006,-0.011,-0.022,7.947,1.39,0.14,31.33582035,121.2274199,7.99
